Company,Ticker
Waters Corp,NYSE:WAT
Bank of NYMellon,NYSE:BK
BlackRock,NYSE:BLK
Starbucks,NASDAQ:SBUX
State street,NYSE:STT
Agilent technologies inc,NYSE:A
Disney,NYSE:DIS
JPMorgan,NYSE:JPM
Dominos pizza,NYSE:DPZ
Adobe,NASDAQ:ADBE
Facebook,NASDAQ:FB
TROWE,NASDAQ:TROW
Graco Inc,NYSE:GGG
US Bancorp,NYSE:USB
Nothern trust,NASDAQ:NTRS
Rockwell Automation,NYSE:ROK
Salesforce,NYSE:CRM
Applied materials,NASDAQ:AMAT
Bank of America,NYSE:BAC
MSCI Inc,NYSE:MSCI
Autodesk,NASDAQ:ADSK
Comcast,NASDAQ:CMCSA
Home depot,NYSE:HD
Tyler Technologies,NYSE:TYL
Intuitive surgical,NASDAQ:ISRG
Equifax,NYSE:EFX
Blackbaud,NASDAQ:BLKB
S&P,NYSE:SPGI
Boeing,NYSE:BA
Emerson electric,NYSE:EMR
Otis Worlwide,NYSE:OTIS
Masco corp,NYSE:MAS
Lam Research,NASDAQ:LRCX
Polaris,NYSE:PII
Expeditors,NASDAQ:EXPD
Microchip Tec,NASDAQ:MCHP
VeriSign,NASDAQ:VRSN
ServiceNow,NYSE:NOW
3M,NYSE:MMM
Intercontinental exchange inc,NYSE:ICE
Stryker corp,NYSE:SYK
The estee lauder,NYSE:EL
Brown-forman corp,NYSE:BF.B
UPS,NYSE:UPS
Intel,NASDAQ:INTC
Oracle,NYSE:ORCL
Texas Instruments,NASDAQ:TXN
Moodys,NYSE:MCO
International flavors,NYSE:IFF
Norfolk Southern,NYSE:NSC
Zoetis ,NYSE:ZTS
West pharnaceutical services,NYSE:WST
Ansys,NASDAQ:ANSS
Amazon,NASDAQ:AMZN
Roper,NYSE:ROP
Yum brands,NYSE:YUM
Nike,NYSE:NKE
Charles Schwab,NYSE:SCHW
gilead,NASDAQ:GILD
Lowe's,NYSE:LOW
Wells Fargo,NYSE:WFC
TransUnion,NYSE:TRU
Analog Devices,NASDAQ:ADI
biogen,NASDAQ:BIIB
Guidewire software,NYSE:GWRE
Google,NASDAQ:GOOGL
Landstar system,NASDAQ:LSTR
Veeva Systems,NYSE:VEEV
Colgate,NYSE:CL
Visa,NYSE:V
Ecolab,NYSE:ECL
Magellan Midstream Partners,NYSE:MMP
Mondelez,NASDAQ:MDLZ
Intuit,NASDAQ:INTU
KLA corp,NASDAQ:KLAC
Mastercard,NYSE:MA
MCdonalds,NYSE:MCD
Fastenal Co,NASDAQ:FAST
Kellog,NYSE:K
Waste Management,NYSE:WM
Microsoft,NASDAQ:MSFT
CSX corp,NASDAQ:CSX
Campbell soup,NYSE:CPB
Deere,NYSE:DE
CME,NASDAQ:CME
Harleydavidson,NYSE:HOG
Clorox,NYSE:CLX
Walmart,NYSE:WMT
cat,NYSE:CAT
J&J,NYSE:JNJ
Dominion Enery,NYSE:D
Union Pacific,NYSE:UNP
Zimmer biomet holdings,NYSE:ZBH
Cintas Corp,NASDAQ:CTAS
MercadoLibre,NASDAQ:MELI
Western Union,NYSE:WU
Constellation brands,NYSE:STZ
CH Robinson Worldwide,NASDAQ:CHRW
Yum China holdings,NYSE:YUMC
Merck,NYSE:MRK
ADP,NASDAQ:ADP
PepsiCo,NASDAQ:PEP
P&G,NYSE:PG
Berkshire,NYSE:BRK.B
KO,NYSE:KO
Raytheon,NYSE:RTX
amgen,NASDAQ:AMGN
PFizer,NYSE:PFE
Republic Services,NYSE:RSG
Compass minerals,NYSE:CMP
Costar group,NASDAQ:CSGP
Aspen technology,NASDAQ:AZPN
Amex,NYSE:AXP
General Dynamics,NYSE:GD
McCormick,NYSE:MKC
Northrop grumman,NYSE:NOC
Apple,NASDAQ:AAPL
Factset research systems,NYSE:FDS
Jack Henry & associates,NASDAQ:JKHY
LokheedMartin,NYSE:LMT
Paychex,NASDAQ:PAYX
Cerner corp,NASDAQ:CERN
Corteva,NYSE:CTVA
The hersey co,NYSE:HSY
Bristol-myers,NYSE:BMY
Abbvie,NYSE:ABBV
Costco Wholesale,NASDAQ:COST
Eli lilly,NYSE:LLY
John wiley & sons,NYSE:JW.A
Altria,NYSE:MO
Cheniere Energy Inc,NYSE:LNG
Cheniere Energy Partners LP,NYSE:CQP
Enterprise Products Partners LP,NYSE:EPD
Kansas City Southern,NYSE:KSU
Maxim Integrated Products,NASDAQ:MXIM
Philip morris,NYSE:PM
Varian medical systems,NYSE:VAR
